label,text
0,"username username username precisely, tptb don’t mind using #vaers to justify the #covidvaccine in pregnancy even tho there hasn’t been one pregnancy followed from conception to birth, but when it comes to #vaccinesideeffects then vaers is unreliable! the hypocrisy link"
0,some people have just one agenda. generate hatred against the muslims of the country. we need to expose these divisive elements. highlight their mischief which weakens our country. #covid #islamophobia link
1,hdhhdndndndndbsbsnsnxb where the fuck did yall come from???????????? 3 more followers till 100?????? man im just some guy drawing pussy link
1,username username username username username verify information before posting on social media. don't become a contributor to misinformation. username is a rouge to india #resignmodi link
1,username you are right public is at fault for electing an asshole pm #modimustresign #modidisasterforindia #modikavaccinejumla #modifailsindia
1,"username username username trump paid $180,000 for sex but you think he's against abortion? he committed adultry at least 4 times. last marriage he divorced his wife to marry the hooker he was cheating with but you think trump has mora"
1,herbalism shop torrevieja told that if he wants to confront me and i know for sure he won't do because he's simply a bloody motherfucker son of the ugliest bitch ever lived in this planet.... link
1,"username govt failed to save the people from this covid situation people dies with insufficient of oxygen, ventilation, beds, this is most bad situation we are facing ðÿ˜¥ #resignpmmodi username username username username username username"
1,"username future didn't make shit. get that man's dick out ya mouth. it's 5 writers on the credits and ciara is the main writer. also, the very concept of the song came from her. link"
0,i can't unwatch this. what are parents doing? has everyone lost their damn minds? #covid19uk #coronavirusuk #covidvaccine #propaganda #masksoff #usforthem #leaveourkidsalone link
1,if i had a trapper i b out here hitting mfs just cause they piss me off
0,username #westbengal has defined #secularism and #mamtabanerjee has proved to be a true #secular as far as #westbengalviolence is concerned. #what a bloody definition after #bengalviolence. #bengalburning #bengal #bengalviolencewarrantssternaction
1,how the fuck do people get off with fake nails on
0,horrible and heart breaking. feel the helplessness :( link #indiacovidcrisis #pakistanstandswithindia
0,worried for my country !! #covidindia #covid19indiahelp #indiacovidcrisis #indianlivesmatter link
0,"1 #samuel 16:20 so jesse took a donkey loaded with bread, a container of wine, and a young goat and sent them to saul with his son david."
0,"username username that's very sad...seen him in advertisements, tv serials... how many valuable lives have been taken away by this wretched #chinesevirus om shanti folded hands "
0,the images of india are so heartbreaking ! people dying on streets and burned bodies. it's so horrifying. #indiacovidcrisis
1,this exam is making me dizzy bloody hell and to top it off another 1 tomo gr8
0,username bloody hell noel!!! heâs grown a bit.
1,username bitch get out of here we all know siall is real
1,what a shame username mp officially communalised the covid situation for hide their failure by reading certain community's health workers name last year it was tablighi and now it's muslim health workers.godi media celebrating the foolishness. #saynotocommunal #resignmodi
1,shame on bjp it cell and bhaqts is this how steep 1 has to go for politics disgusting #shameonbjp #resignmodi #modihaitohmumkinhai #modihataodeshbachao link
1,username na bastard. na him children them go treat in the language they understand.
0,#spinelessbjp #bengalburning why did we elect a government if it can't even protect its karyakartas. shame on bjp. shame on modi and amit shah
1,username aren’t you bastards ashamed for what you have done to humanity ? #wuhanvirus
1,nyay should have been the way out of this economical crisis but wht to do brother u have no power n d people in power doesn't listen 2 intellectuals. actually der inferiority towards intellectuals pushed my country to dis place. just can't bare these idiots anymore #resignpmmodi
1,5 at the back scum cunt 4 right backs and 4 centre backs balding fuck going out in the round of 16
0,im that bitch and thats fashooooooo
1,why complain about bein lonely when u have nothing to offer but pussy? that doesn’t get u a solid relationship lol
